,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
71,71,357.42713567839195,1.24393508737303,0.8571659229861317,0.38676916438689823,5.972467293541666,5.925862932152778,0.046604361388888016,10.949380866319444,10.945845937430555,0.0035349288888895103,15.919983501041665,15.967334082430556,-0.04735058138889059,20.646100037928587,21.036230082777777,-0.3901300448491902
72,72,362.4472361809045,1.2464853509146967,0.8596287152777919,0.38685663563690476,5.972270252986111,5.926366468333334,0.045903784652777446,10.946499252430556,10.944037269166667,0.0024619832638883565,15.91854377590278,15.964576795069442,-0.04603301916666247,20.64067302674803,21.033494352916666,-0.39282132616863663
73,73,367.46733668341705,1.246132094180572,0.8583770048611287,0.38775508931944336,5.971301408055556,5.925033165277778,0.04626824277777786,10.94167418875,10.94102542861111,0.0006487601388887043,15.912949520208334,15.960330382847221,-0.04738086263888697,20.64008813049803,21.03057115868056,-0.3904830281825298
74,74,372.4874371859296,1.2480905532758078,0.8596547951389056,0.3884357581369021,5.976695432013889,5.927216365138889,0.04947906687499959,10.945254464444444,10.943508782222223,0.0017456822222214896,15.912682628402779,15.962429063819444,-0.049746435416665236,20.642525634942476,21.03263800763889,-0.3901123726964144
75,75,377.5075376884422,1.2508271791071546,0.8643943664583513,0.38643281264880325,5.981082329652778,5.9309182950000015,0.0501640346527763,10.948514554166666,10.946922432569444,0.001592121597221663,15.915880125000001,15.966774982986111,-0.050894857986110154,20.647593374317477,21.037018645416666,-0.38942527109918856
76,76,382.52763819095475,1.2515502365357236,0.863469174513905,0.3880810620218186,5.9824430318055555,5.9312941384722215,0.051148893333333945,10.951418567013889,10.949464306527778,0.0019542604861104707,15.917412909720237,15.967292787777776,-0.04987987805753846,20.649891938694463,21.037656214930557,-0.3877642762360942
77,77,387.5477386934673,1.2497307622321547,0.8607443153472365,0.38898644688491824,5.982398453194445,5.929519691180555,0.05287876201388997,10.950172564930556,10.947373811527777,0.0027987534027786864,15.91835776131746,15.966908858541665,-0.048551097224205364,20.647869246746044,21.036808725208335,-0.3889394784622908
78,78,392.5678391959799,1.2490653368174742,0.8596441821528022,0.389421154664672,5.9785056756944455,5.927595475694444,0.05091020000000146,10.947666959513889,10.945163350763888,0.002503608750000552,15.918106938261904,15.964317413194445,-0.0462104749325416,20.646822264523824,21.032614797638885,-0.3857925331150618
79,79,397.58793969849245,1.2500853198730302,0.8613167970833508,0.3887685227896793,5.979087957222222,5.928582662777779,0.050505294444443294,10.947897524722224,10.948052063402777,-0.00015453868055281816,15.918761779442459,15.966595273611112,-0.047833494168653345,20.64991994320835,21.03564075736111,-0.38572081415276216
80,80,402.608040201005,1.2450516018869189,0.8572145431944604,0.38783705869245844,5.974556454095236,5.9260592602777775,0.04849719381745832,10.943494520625002,10.94514470013889,-0.001650179513887906,15.91730176228968,15.965895890555556,-0.048594128265875725,20.646502067720252,21.03297002777778,-0.3864679600575265
