,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
93,93,467.8693467336683,1.2434929350000001,0.8728693735156589,0.3706235614843413,5.875624718476443,5.874105377890626,0.0015193405858173747,10.502486403476563,10.873044223632814,-0.3705578201562503
94,94,472.8894472361809,1.2421018514453128,0.8713276678906581,0.37077418355465475,5.873607073808534,5.871937302031251,0.0016697717772835574,10.502381534335939,10.871537029179688,-0.3691554948437492
95,95,477.90954773869345,1.245287691171875,0.872262320117219,0.37302537105465605,5.875169335839784,5.872055064375001,0.003114271464783158,10.50307483595709,10.8726458975,-0.36957106154291
96,96,482.929648241206,1.2507419523046874,0.8781685623828466,0.37257338992184086,5.878259786132933,5.876523249414063,0.0017365367188695302,10.508656652851563,10.876928861718753,-0.3682722088671895
97,97,487.94974874371854,1.2529511687109376,0.882514168164094,0.3704370005468436,5.882637119687501,5.8818233646484375,0.0008137550390632242,10.5123428453125,10.881751179414064,-0.36940833410156415
98,98,492.9698492462311,1.2542618483203125,0.8847326562109676,0.3695291921093449,5.881505711835818,5.882607352343751,-0.0011016405079331548,10.512432811933536,10.882507939101563,-0.37007512716802715
99,99,497.9899497487437,1.2519153486524037,0.884017922304719,0.36789742634768474,5.881711028847597,5.882761228242187,-0.0010501993945899457,10.511968926679568,10.881424348632812,-0.3694554219532442
100,100,503.01005025125625,1.2476915727149036,0.8807674661719096,0.366924106542994,5.879717385488221,5.879156089179688,0.000561296308533521,10.509613387245915,10.878194170507813,-0.3685807832618977
101,101,508.0301507537688,1.245623125429807,0.8779243633594099,0.367698762070397,5.875067469902284,5.873812618632813,0.0012548512694712244,10.505627625214903,10.871882091640625,-0.36625446642572257
102,102,513.0502512562814,1.2483880426366591,0.8811909531640971,0.367197089472562,5.878574617265506,5.876438054921875,0.002136562343630466,10.507090422734375,10.87340572046875,-0.3663152977343742
103,103,518.0703517587939,1.2510732137694716,0.8835506893750318,0.3675225243944398,5.880796128476563,5.878956405546875,0.0018397229296880369,10.511726160136657,10.878374582812501,-0.3666484226758442
104,104,523.0904522613065,1.2532745417774036,0.8862816299609709,0.3669929118164327,5.883008513105409,5.8815025040625,0.0015060090429086515,10.514982404570194,10.880548554531252,-0.3655661499610581
105,105,528.1105527638191,1.2506471231055287,0.8868108308594078,0.3638362922461209,5.883571259804807,5.882718085078125,0.0008531747266822265,10.5161027696875,10.879910664804688,-0.3638078951171888
106,106,533.1306532663316,1.252204318105409,0.8906481231640948,0.3615561949413142,5.888869841113341,5.887023290117188,0.0018465509961531623,10.52113780216779,10.882847095507813,-0.36170929334002366
107,107,538.1507537688442,1.2485265743163465,0.8873835196094082,0.3611430547069383,5.885191287480409,5.883227838789063,0.001963448691346237,10.516721159003966,10.877737712421876,-0.36101655341790995
108,108,543.1708542713568,1.2442477956638234,0.884446876953157,0.35980091871066633,5.880656914531251,5.88041202046875,0.00024489406250083334,10.511877700253727,10.874018359023438,-0.3621406587697109
109,109,548.1909547738693,1.2436551159959144,0.8814729651562834,0.362182150839631,5.8762702902147845,5.8792144778125,-0.0029441875977154197,10.509707112617187,10.873631537226563,-0.363924424609376
110,110,553.2110552763819,1.242146563046875,0.8816228994922198,0.36052366355465526,5.874649341699278,5.878294517109375,-0.0036451754100967904,10.508844173808534,10.872256321601562,-0.3634121477930279
111,111,558.2311557788944,1.2433660784569716,0.8844685665625327,0.35889751189443886,5.876897676972716,5.8795360902343745,-0.002638413261658812,10.511689442597596,10.873405657695313,-0.3617162150977169
112,112,563.251256281407,1.2504049365819716,0.8917322015234705,0.35867273505850106,5.8855604414650236,5.88765437234375,-0.0020939308787264466,10.519280512070313,10.882168583984376,-0.36288807191406214
113,113,568.2713567839196,1.252398714902284,0.8934286267578448,0.3589700881444391,5.887476465625,5.887087035859375,0.00038942976562506004,10.521361894472717,10.88115261546875,-0.35979072099603293
114,114,573.2914572864321,1.2493192009960339,0.8866881259765953,0.3626310750194386,5.8818973527733185,5.881648656367187,0.0002486964061318986,10.517451129160097,10.875791410234376,-0.3583402810742786
115,115,578.3115577889447,1.2465145956640624,0.8820093169922203,0.3645052786718421,5.8779024415038466,5.878061350976563,-0.00015890947271657296,10.515773509570312,10.873455037773438,-0.35768152820312515
116,116,583.3316582914572,1.241262395292909,0.8779112312890951,0.36335116400381384,5.872908961152405,5.872120649023438,0.0007883121289662398,10.508930369960817,10.86754326859375,-0.35861289863293244
117,117,588.3517587939698,1.2404941669334144,0.8781876160547197,0.3623065508786947,5.875131585117187,5.874054126289062,0.0010774588281252662,10.510378294785337,10.869422671757814,-0.35904437697247715
118,118,593.3718592964824,1.238720280566227,0.8766144062890961,0.3621058742771308,5.874027466503847,5.873302692617187,0.000724773886659591,10.50795044593762,10.867124307304689,-0.3591738613670685
119,119,598.3919597989949,1.2413358091013236,0.8815670604687829,0.3597687486325407,5.8774790727147845,5.877646375,-0.00016730228521577573,10.512645573652286,10.871066142539064,-0.3584205688867783
120,120,603.4120603015075,1.241005322109136,0.8803805307422197,0.3606247913669163,5.8773017205469955,5.875589888164063,0.0017118323829325988,10.513705203847717,10.871337767851564,-0.3576325640038469
121,121,608.4321608040201,1.2381061258203125,0.8786668306640957,0.35943929515621686,5.876188735976682,5.873720541640624,0.0024681943360578273,10.513038197089905,10.869554167812499,-0.3565159707225938
122,122,613.4522613065326,1.2427563673242785,0.8855914277734691,0.3571649395508094,5.882298389238342,5.8792241784375,0.0030742108008414704,10.519145607656132,10.874778896601562,-0.35563328894543034
123,123,618.4723618090452,1.237505877304807,0.8803151281640956,0.35719074914071147,5.8773142920899035,5.873933984375,0.0033803077149032745,10.514067282421635,10.868457732812502,-0.35439045039086636
124,124,623.4924623115578,1.2408663572072107,0.8844746404687822,0.3563917167384285,5.880412396347716,5.87871027984375,0.0017021165039663444,10.518039543339665,10.8710319646875,-0.35299242134783526
125,125,628.5125628140703,1.2389728289844948,0.8850177242578462,0.3539551047266486,5.874336642929807,5.875997769414063,-0.0016611264842563145,10.514674451679568,10.869225374726565,-0.35455092304699676
126,126,633.5326633165829,1.2403507626757215,0.8854825082031589,0.35486825447256265,5.873023658769711,5.8743684725000005,-0.0013448137302898289,10.51073950798834,10.866759636054688,-0.35602012806634775
127,127,638.5527638190954,1.2423480233594946,0.8914852954687862,0.3508627278907084,5.877038882011898,5.879733748945313,-0.002694866933414808,10.516303596523557,10.87178318625,-0.35547958972644267
